Solutions found using answers list: 
  wordlists/absurdle_wordlist_2022-02-16.txt
Bucket size threshold: 400
Started at: 02/16/2022, 16:26:54

agile, snort, dumpy, chuck
alone, demur, sheet, ethic
arson, plied, beech, fugue
arson, plied, hefty, queue
decry, slant, booth, thump
decry, spoil, tango, buxom
early, point, cubic, ficus
early, point, humid, ficus
early, point, mimic, sushi
early, point, music, ficus
fiery, coast, manga, pupal
fiery, scold, tango, buxom
flyer, coast, pagan, ninja
grail, scone, depth, tweet
grail, snout, dumpy, chuck
grail, stone, dumpy, chuck
grain, stole, dumpy, chuck
layer, point, cubic, ficus
layer, point, humid, ficus
layer, point, mimic, sushi
layer, point, music, ficus
least, groin, dumpy, chuck
matey, blond, crush, whiff
matey, blown, crisp, vivid
onset, curly, braid, rajah
radio, shelf, pence, unmet
radio, shelf, penne, unmet
ready, scion, tough, jumbo
relay, point, cubic, ficus
relay, point, humid, ficus
relay, point, mimic, sushi
relay, point, music, ficus
reply, tonic, swift, fifth
royal, deign, sheet, butte
royal, hinge, steed, debut
royal, hinge, upset, fetus
royal, neigh, steed, butte
royal, neigh, tweed, butte
royal, niece, shift, humid
royal, singe, teeth, embed
royal, spice, tweed, begun
royal, tense, chump, vivid
royal, tense, cubic, whiff
scary, plied, bongo, quoth
score, glint, dumpy, kayak
slate, groin, dumpy, chuck
solar, night, dumpy, emcee
sonar, plied, beech, fugue
sonar, plied, hefty, queue
stale, groin, dumpy, chuck
stole, grain, dumpy, chuck
stone, curly, braid, rajah
store, cling, dumpy, kayak
style, bacon, award, pizza
style, bacon, fraud, pizza
token, hairy, scamp, awful
ultra, scone, deign, enemy
ultra, synod, cheek, pixie
ultra, synod, chief, femme
yearn, flout, chump, sushi
yearn, flout, cubic, shush
yearn, foist, civil, humid
yearn, hoist, civil, fluid
yearn, plush, timid, motto


Found 64 solutions in 30 minutes and 11 seconds
